Accession code,Uniprot URL
Q15772,https://www.uniprot.org/uniprot/Q15772
Q15831,https://www.uniprot.org/uniprot/Q15831
Q9UEE5,https://www.uniprot.org/uniprot/Q9UEE5
O94768,https://www.uniprot.org/uniprot/O94768
Q9BYT3,https://www.uniprot.org/uniprot/Q9BYT3
Q8N2I9,https://www.uniprot.org/uniprot/Q8N2I9
Q96RU8,https://www.uniprot.org/uniprot/Q96RU8
Q92519,https://www.uniprot.org/uniprot/Q92519
Q96RU7,https://www.uniprot.org/uniprot/Q96RU7
O75962,https://www.uniprot.org/uniprot/O75962
Q9BXA7,https://www.uniprot.org/uniprot/Q9BXA7
Q96PF2,https://www.uniprot.org/uniprot/Q96PF2
Q96PN8,https://www.uniprot.org/uniprot/Q96PN8
Q6SA08,https://www.uniprot.org/uniprot/Q6SA08
Q9BXA6,https://www.uniprot.org/uniprot/Q9BXA6
Q8WZ42,https://www.uniprot.org/uniprot/Q8WZ42
P48729,https://www.uniprot.org/uniprot/P48729
Q8N752,https://www.uniprot.org/uniprot/Q8N752
P48730,https://www.uniprot.org/uniprot/P48730
P49674,https://www.uniprot.org/uniprot/P49674
Q9HCP0,https://www.uniprot.org/uniprot/Q9HCP0
P78368,https://www.uniprot.org/uniprot/P78368
Q9Y6M4,https://www.uniprot.org/uniprot/Q9Y6M4
Q5TCY1,https://www.uniprot.org/uniprot/Q5TCY1
Q6IQ55,https://www.uniprot.org/uniprot/Q6IQ55
Q99986,https://www.uniprot.org/uniprot/Q99986
Q86Y07,https://www.uniprot.org/uniprot/Q86Y07
Q8IV63,https://www.uniprot.org/uniprot/Q8IV63
P06493,https://www.uniprot.org/uniprot/P06493
Q15131,https://www.uniprot.org/uniprot/Q15131
Q9UQ88,https://www.uniprot.org/uniprot/Q9UQ88
P21127,https://www.uniprot.org/uniprot/P21127
Q9NYV4,https://www.uniprot.org/uniprot/Q9NYV4
Q14004,https://www.uniprot.org/uniprot/Q14004
O94921,https://www.uniprot.org/uniprot/O94921
Q96Q40,https://www.uniprot.org/uniprot/Q96Q40
Q00536,https://www.uniprot.org/uniprot/Q00536
Q00537,https://www.uniprot.org/uniprot/Q00537
Q07002,https://www.uniprot.org/uniprot/Q07002
Q9BWU1,https://www.uniprot.org/uniprot/Q9BWU1
P24941,https://www.uniprot.org/uniprot/P24941
Q8IZL9,https://www.uniprot.org/uniprot/Q8IZL9
Q00526,https://www.uniprot.org/uniprot/Q00526
P11802,https://www.uniprot.org/uniprot/P11802
Q00535,https://www.uniprot.org/uniprot/Q00535
Q00534,https://www.uniprot.org/uniprot/Q00534
P50613,https://www.uniprot.org/uniprot/P50613
P49336,https://www.uniprot.org/uniprot/P49336
