Accession code,Uniprot URL
P09917,https://www.uniprot.org/uniprot/P09917
Q04760,https://www.uniprot.org/uniprot/Q04760
P37840,https://www.uniprot.org/uniprot/P37840
P41134,https://www.uniprot.org/uniprot/P41134
P10636-8,https://www.uniprot.org/uniprot/P10636-8
P55055,https://www.uniprot.org/uniprot/P55055
P51790,https://www.uniprot.org/uniprot/P51790
Q00613,https://www.uniprot.org/uniprot/Q00613
P26678,https://www.uniprot.org/uniprot/P26678
O95786,https://www.uniprot.org/uniprot/O95786
Q13153,https://www.uniprot.org/uniprot/Q13153
P35638,https://www.uniprot.org/uniprot/P35638
P08473,https://www.uniprot.org/uniprot/P08473
P60484,https://www.uniprot.org/uniprot/P60484
O75582,https://www.uniprot.org/uniprot/O75582
P41236,https://www.uniprot.org/uniprot/P41236
P51636,https://www.uniprot.org/uniprot/P51636
Q01082,https://www.uniprot.org/uniprot/Q01082
Q9UNN5,https://www.uniprot.org/uniprot/Q9UNN5
P35580,https://www.uniprot.org/uniprot/P35580
Q8N5P1,https://www.uniprot.org/uniprot/Q8N5P1
P30260,https://www.uniprot.org/uniprot/P30260
Q16625,https://www.uniprot.org/uniprot/Q16625
Q13148,https://www.uniprot.org/uniprot/Q13148
P32004,https://www.uniprot.org/uniprot/P32004
P18887,https://www.uniprot.org/uniprot/P18887
Q14449,https://www.uniprot.org/uniprot/Q14449
P83916,https://www.uniprot.org/uniprot/P83916
Q15555,https://www.uniprot.org/uniprot/Q15555
P03372,https://www.uniprot.org/uniprot/P03372
Q13428,https://www.uniprot.org/uniprot/Q13428
P42892-3,https://www.uniprot.org/uniprot/P42892-3
P04004,https://www.uniprot.org/uniprot/P04004
Q15287,https://www.uniprot.org/uniprot/Q15287
P35221,https://www.uniprot.org/uniprot/P35221
P25490,https://www.uniprot.org/uniprot/P25490
P42768,https://www.uniprot.org/uniprot/P42768
O60936,https://www.uniprot.org/uniprot/O60936
P25686,https://www.uniprot.org/uniprot/P25686
Q8N5B7,https://www.uniprot.org/uniprot/Q8N5B7
P55010,https://www.uniprot.org/uniprot/P55010
Q96PX8,https://www.uniprot.org/uniprot/Q96PX8
P05114,https://www.uniprot.org/uniprot/P05114
Q6VY07,https://www.uniprot.org/uniprot/Q6VY07
Q13393,https://www.uniprot.org/uniprot/Q13393
P49959,https://www.uniprot.org/uniprot/P49959
P08235,https://www.uniprot.org/uniprot/P08235
P45984,https://www.uniprot.org/uniprot/P45984
P05412,https://www.uniprot.org/uniprot/P05412
P18846,https://www.uniprot.org/uniprot/P18846
Q96FW1,https://www.uniprot.org/uniprot/Q96FW1
Q9UKD2,https://www.uniprot.org/uniprot/Q9UKD2
Q04724,https://www.uniprot.org/uniprot/Q04724
P35226,https://www.uniprot.org/uniprot/P35226
