ID,CNumber,Target,Screen Conc(0.001),% Activity Remaining,Standard Deviation,Screen Conc(0.01),% Activity Remaining.1,Standard Deviation.1,Screen Conc(0.1),% Activity Remaining.2,Standard Deviation.2,Screen Conc(0.1-1.0),% Activity Remaining.3,Standard Deviation.3,Screen Conc(1.0),% Activity Remaining.4,Standard Deviation.4,Screen Conc(1.0-5.0),% Activity Remaining.5,Standard Deviation.5,Screen Conc(5.0-10.0),% Activity Remaining.6,Standard Deviation.6,Screen Conc(10.0),% Activity Remaining.7,Standard Deviation.7,Screen Conc(10.0-25.0),% Activity Remaining.8,Standard Deviation.8,Screen Conc(25.0),% Activity Remaining.9,Standard Deviation.9,Screen Conc(25.0-50.0),% Activity Remaining.10,Standard Deviation.10,Screen Conc(50.0),% Activity Remaining.11,Standard Deviation.11,Screen Conc(100.0),% Activity Remaining.12,Standard Deviation.12,Screen Conc(>100.0),% Activity Remaining.13,Standard Deviation.13
2306,15.0,P17948,,,,,,,,,,,,,1.0,80,1,,,,,,,10.0,40,9,,,,,,,,,,,,,,,,,,
2307,15.0,O43781,,,,,,,,,,,,,1.0,108,3,,,,,,,10.0,96,3,,,,,,,,,,,,,,,,,,
2308,15.0,NEK2a,,,,,,,,,,,,,1.0,104,0,,,,,,,10.0,88,10,,,,,,,,,,,,,,,,,,
2309,15.0,Q9HC98,,,,,,,,,,,,,1.0,100,12,,,,,,,10.0,92,1,,,,,,,,,,,,,,,,,,
2310,15.0,IKK beta ,,,,,,,,,,,,,1.0,101,10,,,,,,,10.0,87,2,,,,,,,,,,,,,,,,,,
2311,15.0,IKK epsilon ,,,,,,,,,,,,,1.0,103,1,,,,,,,10.0,35,1,,,,,,,,,,,,,,,,,,
2312,15.0,Q9UHD2,,,,,,,,,,,,,1.0,94,1,,,,,,,10.0,75,6,,,,,,,,,,,,,,,,,,
2313,15.0,P11309,,,,,,,,,,,,,1.0,104,5,,,,,,,10.0,71,3,,,,,,,,,,,,,,,,,,
2314,15.0,Q9P1W9,,,,,,,,,,,,,1.0,103,9,,,,,,,10.0,83,7,,,,,,,,,,,,,,,,,,
2315,15.0,Q86V86,,,,,,,,,,,,,1.0,74,6,,,,,,,10.0,82,1,,,,,,,,,,,,,,,,,,
2316,15.0,Q96SB4,,,,,,,,,,,,,1.0,107,6,,,,,,,10.0,90,2,,,,,,,,,,,,,,,,,,
2317,15.0,Q92974,,,,,,,,,,,,,1.0,103,13,,,,,,,10.0,85,4,,,,,,,,,,,,,,,,,,
2318,15.0,Q86Z02,,,,,,,,,,,,,1.0,108,18,,,,,,,10.0,82,4,,,,,,,,,,,,,,,,,,
2319,15.0,Q9H2X6,,,,,,,,,,,,,1.0,97,4,,,,,,,10.0,96,5,,,,,,,,,,,,,,,,,,
2320,15.0,Q9H422,,,,,,,,,,,,,1.0,90,3,,,,,,,10.0,88,7,,,,,,,,,,,,,,,,,,
2321,15.0,Q9Y4R8,,,,,,,,,,,,,1.0,103,1,,,,,,,10.0,96,6,,,,,,,,,,,,,,,,,,
2322,15.0,Q13177,,,,,,,,,,,,,1.0,96,15,,,,,,,10.0,83,5,,,,,,,,,,,,,,,,,,
2323,15.0,O96013,,,,,,,,,,,,,1.0,83,10,,,,,,,10.0,95,10,,,,,,,,,,,,,,,,,,
2324,15.0,Q9NQU5,,,,,,,,,,,,,1.0,97,7,,,,,,,10.0,89,8,,,,,,,,,,,,,,,,,,
2325,15.0,Q13177,,,,,,,,,,,,,1.0,87,4,,,,,,,10.0,80,7,,,,,,,,,,,,,,,,,,
2326,15.0,Q13188,,,,,,,,,,,,,1.0,90,16,,,,,,,10.0,51,5,,,,,,,,,,,,,,,,,,
2327,15.0,Q9P289,,,,,,,,,,,,,1.0,89,6,,,,,,,10.0,61,6,,,,,,,,,,,,,,,,,,
2328,15.0,Q8N4C8,,,,,,,,,,,,,1.0,103,1,,,,,,,10.0,67,6,,,,,,,,,,,,,,,,,,
2329,15.0,Q8N4C8,,,,,,,,,,,,,1.0,103,3,,,,,,,10.0,27,4,,,,,,,,,,,,,,,,,,
2330,15.0,Q02750,,,,,,,,,,,,,1.0,105,8,,,,,,,10.0,92,11,,,,,,,,,,,,,,,,,,
2331,15.0,P27361,,,,,,,,,,,,,1.0,121,5,,,,,,,10.0,102,8,,,,,,,,,,,,,,,,,,
2332,15.0,P28482,,,,,,,,,,,,,1.0,84,5,,,,,,,10.0,79,2,,,,,,,,,,,,,,,,,,
2333,15.0,P45983,,,,,,,,,,,,,1.0,91,7,,,,,,,10.0,99,1,,,,,,,,,,,,,,,,,,
2334,15.0,P45984,,,,,,,,,,,,,1.0,85,3,,,,,,,10.0,78,5,,,,,,,,,,,,,,,,,,
2335,15.0,Q13233,,,,,,,,,,,,,1.0,88,2,,,,,,,10.0,94,6,,,,,,,,,,,,,,,,,,
2336,15.0,P36507,,,,,,,,,,,,,1.0,None,None,,,,,,,10.0,89,7,,,,,,,,,,,,,,,,,,
2337,15.0,P53779,,,,,,,,,,,,,1.0,107,20,,,,,,,10.0,83,0,,,,,,,,,,,,,,,,,,
2338,15.0,P80192,,,,,,,,,,,,,1.0,86,13,,,,,,,10.0,78,2,,,,,,,,,,,,,,,,,,
2339,15.0,P52564,,,,,,,,,,,,,1.0,None,None,,,,,,,10.0,85,1,,,,,,,,,,,,,,,,,,
2340,15.0,p38 alpha MAPK,,,,,,,,,,,,,1.0,100,13,,,,,,,10.0,88,7,,,,,,,,,,,,,,,,,,
2341,15.0,Q16584,,,,,,,,,,,,,1.0,93,7,,,,,,,10.0,93,8,,,,,,,,,,,,,,,,,,
2342,15.0,p38 beta MAPK,,,,,,,,,,,,,1.0,81,15,,,,,,,10.0,87,4,,,,,,,,,,,,,,,,,,
2343,15.0,P27448,,,,,,,,,,,,,1.0,108,24,,,,,,,10.0,99,6,,,,,,,,,,,,,,,,,,
2344,15.0,p38 gamma MAPK,,,,,,,,,,,,,1.0,112,9,,,,,,,10.0,97,6,,,,,,,,,,,,,,,,,,
2345,15.0,Q9NWZ3,,,,,,,,,,,,,1.0,95,1,,,,,,,10.0,92,2,,,,,,,,,,,,,,,,,,
2346,15.0,p38 delta MAPK,,,,,,,,,,,,,1.0,95,8,,,,,,,10.0,93,1,,,,,,,,,,,,,,,,,,
2347,15.0,O43353,,,,,,,,,,,,,1.0,109,1,,,,,,,10.0,80,0,,,,,,,,,,,,,,,,,,
2348,15.0,Q8TD08,,,,,,,,,,,,,1.0,110,7,,,,,,,10.0,101,6,,,,,,,,,,,,,,,,,,
2349,15.0,P33981,,,,,,,,,,,,,1.0,107,14,,,,,,,10.0,86,3,,,,,,,,,,,,,,,,,,
2350,15.0,Q8TDC3,,,,,,,,,,,,,1.0,98,11,,,,,,,10.0,86,1,,,,,,,,,,,,,,,,,,
2351,15.0,Q14247,,,,,,,,,,,,,1.0,177,4,,,,,,,10.0,162,6,,,,,,,,,,,,,,,,,,
2352,15.0,Q8IWQ3,,,,,,,,,,,,,1.0,79,2,,,,,,,10.0,8,0,,,,,,,,,,,,,,,,,,
2353,15.0,Q13501,,,,,,,,,,,,,1.0,108,10,,,,,,,10.0,107,4,,,,,,,,,,,,,,,,,,
2354,15.0,O15530,,,,,,,,,,,,,1.0,91,4,,,,,,,10.0,90,4,,,,,,,,,,,,,,,,,,
2355,15.0,P67870,,,,,,,,,,,,,1.0,98,2,,,,,,,10.0,92,10,,,,,,,,,,,,,,,,,,
2356,15.0,PKB alpha ,,,,,,,,,,,,,1.0,102,4,,,,,,,10.0,90,4,,,,,,,,,,,,,,,,,,
2357,15.0,P07947,,,,,,,,,,,,,1.0,127,34,,,,,,,10.0,158,14,,,,,,,,,,,,,,,,,,
2358,15.0,PKB beta ,,,,,,,,,,,,,1.0,86,15,,,,,,,10.0,8,1,,,,,,,,,,,,,,,,,,
2359,15.0,Q06187,,,,,,,,,,,,,1.0,81,3,,,,,,,10.0,58,6,,,,,,,,,,,,,,,,,,
2360,15.0,O00141,,,,,,,,,,,,,1.0,88,10,,,,,,,10.0,99,6,,,,,,,,,,,,,,,,,,
2361,15.0,O60674,,,,,,,,,,,,,1.0,99,9,,,,,,,10.0,84,3,,,,,,,,,,,,,,,,,,
2362,15.0,P23443,,,,,,,,,,,,,1.0,100,16,,,,,,,10.0,84,2,,,,,,,,,,,,,,,,,,
2363,15.0,P43405,,,,,,,,,,,,,1.0,94,3,,,,,,,10.0,78,1,,,,,,,,,,,,,,,,,,
2364,15.0,P23677,,,,,,,,,,,,,1.0,91,0,,,,,,,10.0,89,6,,,,,,,,,,,,,,,,,,
2365,15.0,P29317,,,,,,,,,,,,,1.0,98,6,,,,,,,10.0,75,7,,,,,,,,,,,,,,,,,,
2366,15.0,ROCK 2,,,,,,,,,,,,,1.0,96,7,,,,,,,10.0,82,7,,,,,,,,,,,,,,,,,,
2367,15.0,Q16513,,,,,,,,,,,,,1.0,100,0,,,,,,,10.0,70,5,,,,,,,,,,,,,,,,,,
2368,15.0,PKC alpha ,,,,,,,,,,,,,1.0,95,6,,,,,,,10.0,75,0,,,,,,,,,,,,,,,,,,
2369,15.0,PKC zeta ,,,,,,,,,,,,,1.0,100,10,,,,,,,10.0,92,2,,,,,,,,,,,,,,,,,,
2370,15.0,Q15139,,,,,,,,,,,,,1.0,83,1,,,,,,,10.0,72,5,,,,,,,,,,,,,,,,,,
2371,15.0,P05556,,,,,,,,,,,,,1.0,95,6,,,,,,,10.0,79,5,,,,,,,,,,,,,,,,,,
2372,15.0,Q9BUB5,,,,,,,,,,,,,1.0,117,16,,,,,,,10.0,89,1,,,,,,,,,,,,,,,,,,
2373,15.0,Q9HBH9,,,,,,,,,,,,,1.0,95,3,,,,,,,10.0,96,11,,,,,,,,,,,,,,,,,,
2374,15.0,MAPKAP-K2 ,,,,,,,,,,,,,1.0,93,7,,,,,,,10.0,92,0,,,,,,,,,,,,,,,,,,
2375,15.0,Q16644,,,,,,,,,,,,,1.0,89,8,,,,,,,10.0,75,0,,,,,,,,,,,,,,,,,,
2376,15.0,Q8IW41,,,,,,,,,,,,,1.0,98,13,,,,,,,10.0,76,3,,,,,,,,,,,,,,,,,,
2377,15.0,CAMKK beta ,,,,,,,,,,,,,1.0,102,6,,,,,,,10.0,99,1,,,,,,,,,,,,,,,,,,
2378,15.0,Q8IU85,,,,,,,,,,,,,1.0,59,13,,,,,,,10.0,19,2,,,,,,,,,,,,,,,,,,
2379,15.0,SmMLCK,,,,,,,,,,,,,1.0,104,13,,,,,,,10.0,85,9,,,,,,,,,,,,,,,,,,
2380,15.0,O60285,,,,,,,,,,,,,1.0,91,3,,,,,,,10.0,106,5,,,,,,,,,,,,,,,,,,
2381,15.0,P53355,,,,,,,,,,,,,1.0,107,13,,,,,,,10.0,73,6,,,,,,,,,,,,,,,,,,
2382,15.0,O14757,,,,,,,,,,,,,1.0,113,18,,,,,,,10.0,79,2,,,,,,,,,,,,,,,,,,
2383,15.0,O96017,,,,,,,,,,,,,1.0,99,6,,,,,,,10.0,86,0,,,,,,,,,,,,,,,,,,
2384,15.0,GSK3 beta ,,,,,,,,,,,,,1.0,93,6,,,,,,,10.0,101,3,,,,,,,,,,,,,,,,,,
2385,15.0,CDK2-Cyclin A,,,,,,,,,,,,,1.0,84,4,,,,,,,10.0,87,8,,,,,,,,,,,,,,,,,,
2386,15.0,P53350,,,,,,,,,,,,,1.0,108,1,,,,,,,10.0,93,5,,,,,,,,,,,,,,,,,,
2387,15.0,Aurora A,,,,,,,,,,,,,1.0,103,14,,,,,,,10.0,14,0,,,,,,,,,,,,,,,,,,
2388,15.0,Aurora B,,,,,,,,,,,,,1.0,82,12,,,,,,,10.0,101,14,,,,,,,,,,,,,,,,,,
2389,15.0,Q15831,,,,,,,,,,,,,1.0,93,1,,,,,,,10.0,75,4,,,,,,,,,,,,,,,,,,
2390,15.0,Q9Y478,,,,,,,,,,,,,1.0,94,5,,,,,,,10.0,76,4,,,,,,,,,,,,,,,,,,
2391,15.0,Q9P0L2,,,,,,,,,,,,,1.0,104,2,,,,,,,10.0,100,1,,,,,,,,,,,,,,,,,,
2392,15.0,Q7KZI7,,,,,,,,,,,,,1.0,80,11,,,,,,,10.0,70,1,,,,,,,,,,,,,,,,,,
2393,15.0,P27448,,,,,,,,,,,,,1.0,90,3,,,,,,,10.0,95,7,,,,,,,,,,,,,,,,,,
2394,15.0,Q96L34,,,,,,,,,,,,,1.0,95,1,,,,,,,10.0,58,3,,,,,,,,,,,,,,,,,,
2395,15.0,Q8TDC3,,,,,,,,,,,,,1.0,80,11,,,,,,,10.0,73,6,,,,,,,,,,,,,,,,,,
2396,15.0,Q8IWQ3,,,,,,,,,,,,,1.0,106,4,,,,,,,10.0,41,7,,,,,,,,,,,,,,,,,,
2397,15.0,Q14680,,,,,,,,,,,,,1.0,101,6,,,,,,,10.0,89,13,,,,,,,,,,,,,,,,,,
2398,15.0,O60285,,,,,,,,,,,,,1.0,93,5,,,,,,,10.0,20,1,,,,,,,,,,,,,,,,,,
2399,15.0,CK1 delta ,,,,,,,,,,,,,1.0,101,3,,,,,,,10.0,97,6,,,,,,,,,,,,,,,,,,
2400,15.0,P67870,,,,,,,,,,,,,1.0,103,2,,,,,,,10.0,104,4,,,,,,,,,,,,,,,,,,
2401,15.0,Q13627,,,,,,,,,,,,,1.0,96,16,,,,,,,10.0,86,3,,,,,,,,,,,,,,,,,,
2402,15.0,Q92630,,,,,,,,,,,,,1.0,96,0,,,,,,,10.0,78,5,,,,,,,,,,,,,,,,,,
2403,15.0,Q7L7X3,,,,,,,,,,,,,1.0,None,None,,,,,,,10.0,81,3,,,,,,,,,,,,,,,,,,
2404,15.0,O14649,,,,,,,,,,,,,1.0,None,None,,,,,,,10.0,101,5,,,,,,,,,,,,,,,,,,
2405,16.0,Q02750,,,,,,,,,,,,,,,,,,,,,,10.0,74,3,,,,,,,,,,,,,,,,,,
2406,16.0,P27361,,,,,,,,,,,,,,,,,,,,,,10.0,92,7,,,,,,,,,,,,,,,,,,
2407,16.0,P28482,,,,,,,,,,,,,,,,,,,,,,10.0,91,3,,,,,,,,,,,,,,,,,,
2408,16.0,P45983,,,,,,,,,,,,,,,,,,,,,,10.0,83,5,,,,,,,,,,,,,,,,,,
2409,16.0,P45984,,,,,,,,,,,,,,,,,,,,,,10.0,65,4,,,,,,,,,,,,,,,,,,
2410,16.0,P53779,,,,,,,,,,,,,,,,,,,,,,10.0,101,4,,,,,,,,,,,,,,,,,,
2411,16.0,p38 alpha MAPK,,,,,,,,,,,,,,,,,,,,,,10.0,14,2,,,,,,,,,,,,,,,,,,
2412,16.0,p38 beta MAPK,,,,,,,,,,,,,,,,,,,,,,10.0,22,4,,,,,,,,,,,,,,,,,,
2413,16.0,p38 gamma MAPK,,,,,,,,,,,,,,,,,,,,,,10.0,68,1,,,,,,,,,,,,,,,,,,
2414,16.0,p38 delta MAPK,,,,,,,,,,,,,,,,,,,,,,10.0,61,4,,,,,,,,,,,,,,,,,,
2415,16.0,Q8TD08,,,,,,,,,,,,,,,,,,,,,,10.0,7,2,,,,,,,,,,,,,,,,,,
2416,16.0,Q8TDC3,,,,,,,,,,,,,,,,,,,,,,10.0,41,4,,,,,,,,,,,,,,,,,,
2417,16.0,Q8IWQ3,,,,,,,,,,,,,,,,,,,,,,10.0,54,3,,,,,,,,,,,,,,,,,,
2418,16.0,O15530,,,,,,,,,,,,,,,,,,,,,,10.0,82,2,,,,,,,,,,,,,,,,,,
2419,16.0,PKB alpha ,,,,,,,,,,,,,,,,,,,,,,10.0,94,1,,,,,,,,,,,,,,,,,,
2420,16.0,PKB beta ,,,,,,,,,,,,,,,,,,,,,,10.0,83,1,,,,,,,,,,,,,,,,,,
2421,16.0,O00141,,,,,,,,,,,,,,,,,,,,,,10.0,90,3,,,,,,,,,,,,,,,,,,
2422,16.0,P23443,,,,,,,,,,,,,,,,,,,,,,10.0,76,4,,,,,,,,,,,,,,,,,,
2423,16.0,P23677,,,,,,,,,,,,,,,,,,,,,,10.0,72,3,,,,,,,,,,,,,,,,,,
2424,16.0,ROCK 2,,,,,,,,,,,,,,,,,,,,,,10.0,71,8,,,,,,,,,,,,,,,,,,
2425,16.0,Q16513,,,,,,,,,,,,,,,,,,,,,,10.0,79,1,,,,,,,,,,,,,,,,,,
2426,16.0,PKC alpha ,,,,,,,,,,,,,,,,,,,,,,10.0,87,1,,,,,,,,,,,,,,,,,,
2427,16.0,PKC zeta ,,,,,,,,,,,,,,,,,,,,,,10.0,92,4,,,,,,,,,,,,,,,,,,
2428,16.0,Q15139,,,,,,,,,,,,,,,,,,,,,,10.0,90,1,,,,,,,,,,,,,,,,,,
2429,16.0,P05556,,,,,,,,,,,,,,,,,,,,,,10.0,84,2,,,,,,,,,,,,,,,,,,
2430,16.0,Q9BUB5,,,,,,,,,,,,,,,,,,,,,,10.0,67,5,,,,,,,,,,,,,,,,,,
2431,16.0,Q9HBH9,,,,,,,,,,,,,,,,,,,,,,10.0,40,2,,,,,,,,,,,,,,,,,,
2432,16.0,MAPKAP-K2 ,,,,,,,,,,,,,,,,,,,,,,10.0,104,5,,,,,,,,,,,,,,,,,,
2433,16.0,Q16644,,,,,,,,,,,,,,,,,,,,,,10.0,92,1,,,,,,,,,,,,,,,,,,
2434,16.0,Q8IW41,,,,,,,,,,,,,,,,,,,,,,10.0,84,4,,,,,,,,,,,,,,,,,,
2435,16.0,CAMKK alpha ,,,,,,,,,,,,,,,,,,,,,,10.0,97,1,,,,,,,,,,,,,,,,,,
2436,16.0,CAMKK beta ,,,,,,,,,,,,,,,,,,,,,,10.0,88,3,,,,,,,,,,,,,,,,,,
2437,16.0,Q8IU85,,,,,,,,,,,,,,,,,,,,,,10.0,53,3,,,,,,,,,,,,,,,,,,
2438,16.0,SmMLCK,,,,,,,,,,,,,,,,,,,,,,10.0,84,1,,,,,,,,,,,,,,,,,,
2439,16.0,O60285,,,,,,,,,,,,,,,,,,,,,,10.0,90,2,,,,,,,,,,,,,,,,,,
2440,16.0,O14757,,,,,,,,,,,,,,,,,,,,,,10.0,89,5,,,,,,,,,,,,,,,,,,
2441,16.0,O96017,,,,,,,,,,,,,,,,,,,,,,10.0,99,0,,,,,,,,,,,,,,,,,,
2442,16.0,GSK3 beta ,,,,,,,,,,,,,,,,,,,,,,10.0,64,1,,,,,,,,,,,,,,,,,,
2443,16.0,CDK2-Cyclin A,,,,,,,,,,,,,,,,,,,,,,10.0,80,7,,,,,,,,,,,,,,,,,,
2444,16.0,P53350,,,,,,,,,,,,,,,,,,,,,,10.0,93,1,,,,,,,,,,,,,,,,,,
2445,16.0,Aurora B,,,,,,,,,,,,,,,,,,,,,,10.0,15,1,,,,,,,,,,,,,,,,,,
2446,16.0,Aurora C,,,,,,,,,,,,,,,,,,,,,,10.0,34,1,,,,,,,,,,,,,,,,,,
2447,16.0,Q9Y478,,,,,,,,,,,,,,,,,,,,,,10.0,89,4,,,,,,,,,,,,,,,,,,
2448,16.0,P27448,,,,,,,,,,,,,,,,,,,,,,10.0,83,0,,,,,,,,,,,,,,,,,,
2449,16.0,Q8IWQ3,,,,,,,,,,,,,,,,,,,,,,10.0,80,2,,,,,,,,,,,,,,,,,,
2450,16.0,Q14680,,,,,,,,,,,,,,,,,,,,,,10.0,56,5,,,,,,,,,,,,,,,,,,
2451,16.0,CK1 delta ,,,,,,,,,,,,,,,,,,,,,,10.0,99,3,,,,,,,,,,,,,,,,,,
2452,16.0,P67870,,,,,,,,,,,,,,,,,,,,,,10.0,95,3,,,,,,,,,,,,,,,,,,
2453,16.0,Q13627,,,,,,,,,,,,,,,,,,,,,,10.0,82,8,,,,,,,,,,,,,,,,,,
2454,16.0,Q92630,,,,,,,,,,,,,,,,,,,,,,10.0,81,4,,,,,,,,,,,,,,,,,,
2455,16.0,O43781,,,,,,,,,,,,,,,,,,,,,,10.0,47,8,,,,,,,,,,,,,,,,,,
2456,16.0,NEK2a,,,,,,,,,,,,,,,,,,,,,,10.0,92,5,,,,,,,,,,,,,,,,,,
2457,16.0,Q9HC98,,,,,,,,,,,,,,,,,,,,,,10.0,92,9,,,,,,,,,,,,,,,,,,
2458,16.0,Q8TDX7,,,,,,,,,,,,,,,,,,,,,,10.0,96,4,,,,,,,,,,,,,,,,,,
2459,16.0,IKK beta ,,,,,,,,,,,,,,,,,,,,,,10.0,94,0,,,,,,,,,,,,,,,,,,
2460,16.0,P11309,,,,,,,,,,,,,,,,,,,,,,10.0,72,2,,,,,,,,,,,,,,,,,,
2461,16.0,Q9P1W9,,,,,,,,,,,,,,,,,,,,,,10.0,98,1,,,,,,,,,,,,,,,,,,
2462,16.0,Q86V86,,,,,,,,,,,,,,,,,,,,,,10.0,65,8,,,,,,,,,,,,,,,,,,
2463,16.0,Q96SB4,,,,,,,,,,,,,,,,,,,,,,10.0,88,5,,,,,,,,,,,,,,,,,,
2464,16.0,Q13188,,,,,,,,,,,,,,,,,,,,,,10.0,91,4,,,,,,,,,,,,,,,,,,
2465,16.0,Q92974,,,,,,,,,,,,,,,,,,,,,,10.0,99,1,,,,,,,,,,,,,,,,,,
2466,16.0,Q9H2X6,,,,,,,,,,,,,,,,,,,,,,10.0,14,1,,,,,,,,,,,,,,,,,,
2467,16.0,Q9H422,,,,,,,,,,,,,,,,,,,,,,10.0,21,2,,,,,,,,,,,,,,,,,,
2468,16.0,O96013,,,,,,,,,,,,,,,,,,,,,,10.0,89,4,,,,,,,,,,,,,,,,,,
2469,16.0,Q9NQU5,,,,,,,,,,,,,,,,,,,,,,10.0,89,3,,,,,,,,,,,,,,,,,,
2470,16.0,Q13177,,,,,,,,,,,,,,,,,,,,,,10.0,94,2,,,,,,,,,,,,,,,,,,
2471,16.0,Q14247,,,,,,,,,,,,,,,,,,,,,,10.0,44,1,,,,,,,,,,,,,,,,,,
2472,16.0,Q13501,,,,,,,,,,,,,,,,,,,,,,10.0,27,0,,,,,,,,,,,,,,,,,,
2473,16.0,P67870,,,,,,,,,,,,,,,,,,,,,,10.0,63,3,,,,,,,,,,,,,,,,,,
2474,17.0,CDK2-Cyclin A,,,,,,,0.1,90,2,,,,1.0,103,2,,,,,,,10.0,75,7,,,,,,,,,,,,,,,,,,
2475,17.0,P27448,,,,,,,0.1,83,0,,,,1.0,80,3,,,,,,,10.0,None,None,,,,,,,,,,,,,,,,,,
2476,17.0,P51617,,,,,,,0.1,99,3,,,,1.0,96,5,,,,,,,10.0,None,None,,,,,,,,,,,,,,,,,,
2477,17.0,P53350,,,,,,,0.1,6,1,,,,1.0,6,1,,,,,,,10.0,7,1,,,,,,,,,,,,,,,,,,
2478,17.0,Q9NWZ3,,,,,,,0.1,88,5,,,,1.0,79,2,,,,,,,10.0,44,3,,,,,,,,,,,,,,,,,,
2479,17.0,Aurora B,,,,,,,0.1,80,11,,,,1.0,73,1,,,,,,,10.0,89,1,,,,,,,,,,,,,,,,,,
2480,17.0,O43353,,,,,,,0.1,98,12,,,,1.0,99,8,,,,,,,10.0,None,None,,,,,,,,,,,,,,,,,,
2481,17.0,Q9Y478,,,,,,,0.1,95,6,,,,1.0,97,7,,,,,,,10.0,86,3,,,,,,,,,,,,,,,,,,
2482,17.0,O95747,,,,,,,0.1,104,7,,,,1.0,73,2,,,,,,,10.0,None,None,,,,,,,,,,,,,,,,,,
2483,17.0,P27448,,,,,,,0.1,82,1,,,,1.0,92,1,,,,,,,10.0,106,4,,,,,,,,,,,,,,,,,,
2484,17.0,P33981,,,,,,,0.1,93,1,,,,1.0,96,3,,,,,,,10.0,66,21,,,,,,,,,,,,,,,,,,
2485,17.0,Q8IWQ3,,,,,,,0.1,93,5,,,,1.0,92,2,,,,,,,10.0,95,6,,,,,,,,,,,,,,,,,,
2486,17.0,O75716,,,,,,,0.1,96,9,,,,1.0,93,10,,,,,,,10.0,None,None,,,,,,,,,,,,,,,,,,
2487,17.0,Q14680,,,,,,,0.1,78,6,,,,1.0,48,1,,,,,,,10.0,9,2,,,,,,,,,,,,,,,,,,
2488,17.0,Q9H4A3,,,,,,,0.1,98,7,,,,1.0,100,4,,,,,,,10.0,None,None,,,,,,,,,,,,,,,,,,
2489,17.0,CK1 delta ,,,,,,,0.1,76,3,,,,1.0,88,10,,,,,,,10.0,27,0,,,,,,,,,,,,,,,,,,
2490,17.0,Q14247,,,,,,,0.1,93,5,,,,1.0,79,5,,,,,,,10.0,80,1,,,,,,,,,,,,,,,,,,
2491,17.0,P67870,,,,,,,0.1,88,1,,,,1.0,99,4,,,,,,,10.0,78,3,,,,,,,,,,,,,,,,,,
2492,17.0,Q13501,,,,,,,0.1,108,8,,,,1.0,88,6,,,,,,,10.0,39,4,,,,,,,,,,,,,,,,,,
2493,17.0,Q13627,,,,,,,0.1,102,4,,,,1.0,89,8,,,,,,,10.0,54,0,,,,,,,,,,,,,,,,,,
2494,17.0,P67870,,,,,,,0.1,91,11,,,,1.0,101,2,,,,,,,10.0,95,7,,,,,,,,,,,,,,,,,,
2495,17.0,Q92630,,,,,,,0.1,97,4,,,,1.0,92,6,,,,,,,10.0,73,11,,,,,,,,,,,,,,,,,,
2496,17.0,P07947,,,,,,,0.1,109,0,,,,1.0,109,7,,,,,,,10.0,68,7,,,,,,,,,,,,,,,,,,
2497,17.0,O43781,,,,,,,0.1,94,9,,,,1.0,94,4,,,,,,,10.0,95,2,,,,,,,,,,,,,,,,,,
2498,17.0,P53004,,,,,,,0.1,104,4,,,,1.0,97,9,,,,,,,10.0,None,None,,,,,,,,,,,,,,,,,,
2499,17.0,NEK2a,,,,,,,0.1,90,10,,,,1.0,62,1,,,,,,,10.0,4,2,,,,,,,,,,,,,,,,,,
2500,17.0,Q06187,,,,,,,0.1,85,8,,,,1.0,102,6,,,,,,,10.0,93,8,,,,,,,,,,,,,,,,,,
2501,17.0,Q9HC98,,,,,,,0.1,107,1,,,,1.0,85,10,,,,,,,10.0,43,3,,,,,,,,,,,,,,,,,,
2502,17.0,O60674,,,,,,,0.1,106,11,,,,1.0,92,3,,,,,,,10.0,None,None,,,,,,,,,,,,,,,,,,
2503,17.0,IKK beta ,,,,,,,0.1,92,9,,,,1.0,92,4,,,,,,,10.0,76,3,,,,,,,,,,,,,,,,,,
2504,17.0,P43405,,,,,,,0.1,80,11,,,,1.0,63,7,,,,,,,10.0,54,4,,,,,,,,,,,,,,,,,,
2505,17.0,P11309,,,,,,,0.1,85,10,,,,1.0,102,4,,,,,,,10.0,92,4,,,,,,,,,,,,,,,,,,
2506,17.0,P43403,,,,,,,0.1,92,1,,,,1.0,94,0,,,,,,,10.0,None,None,,,,,,,,,,,,,,,,,,
2507,17.0,Q9P1W9,,,,,,,0.1,97,1,,,,1.0,105,11,,,,,,,10.0,128,4,,,,,,,,,,,,,,,,,,
2508,17.0,Q02763,,,,,,,0.1,98,4,,,,1.0,93,11,,,,,,,10.0,None,None,,,,,,,,,,,,,,,,,,
2509,17.0,Q86V86,,,,,,,0.1,103,12,,,,1.0,98,2,,,,,,,10.0,74,1,,,,,,,,,,,,,,,,,,
2510,17.0,Q9UGK3,,,,,,,0.1,124,1,,,,1.0,118,5,,,,,,,10.0,None,None,,,,,,,,,,,,,,,,,,
2511,17.0,Q96SB4,,,,,,,0.1,92,10,,,,1.0,77,11,,,,,,,10.0,66,1,,,,,,,,,,,,,,,,,,
2512,17.0,P29317,,,,,,,0.1,96,9,,,,1.0,88,7,,,,,,,10.0,76,7,,,,,,,,,,,,,,,,,,
2513,17.0,Q13188,,,,,,,0.1,81,0,,,,1.0,91,1,,,,,,,10.0,102,5,,,,,,,,,,,,,,,,,,
2514,17.0,P54764,,,,,,,0.1,115,1,,,,1.0,91,3,,,,,,,10.0,None,None,,,,,,,,,,,,,,,,,,
